utc,ground_station,visible,elevation_deg,range_km
2026-03-27T00:00:00+00:00,Seoul,0,-31.217,7369.201
2026-03-27T00:00:00+00:00,Daejeon,0,-31.843,7476.587
2026-03-27T00:00:30+00:00,Seoul,0,-30.338,7216.581
2026-03-27T00:00:30+00:00,Daejeon,0,-30.960,7324.018
2026-03-27T00:01:00+00:00,Seoul,0,-29.460,7063.597
2026-03-27T00:01:00+00:00,Daejeon,0,-30.080,7170.975
2026-03-27T00:01:30+00:00,Seoul,0,-28.586,6910.394
2026-03-27T00:01:30+00:00,Daejeon,0,-29.201,7017.595
2026-03-27T00:02:00+00:00,Seoul,0,-27.714,6757.125
2026-03-27T00:02:00+00:00,Daejeon,0,-28.326,6864.024
2026-03-27T00:02:30+00:00,Seoul,0,-26.846,6603.952
2026-03-27T00:02:30+00:00,Daejeon,0,-27.453,6710.417
2026-03-27T00:03:00+00:00,Seoul,0,-25.981,6451.050
2026-03-27T00:03:00+00:00,Daejeon,0,-26.584,6556.939
2026-03-27T00:03:30+00:00,Seoul,0,-25.121,6298.606
2026-03-27T00:03:30+00:00,Daejeon,0,-25.718,6403.767
2026-03-27T00:04:00+00:00,Seoul,0,-24.265,6146.819
2026-03-27T00:04:00+00:00,Daejeon,0,-24.857,6251.091
2026-03-27T00:04:30+00:00,Seoul,0,-23.415,5995.905
2026-03-27T00:04:30+00:00,Daejeon,0,-24.001,6099.112
2026-03-27T00:05:00+00:00,Seoul,0,-22.571,5846.094
2026-03-27T00:05:00+00:00,Daejeon,0,-23.150,5948.050
2026-03-27T00:05:30+00:00,Seoul,0,-21.734,5697.636
2026-03-27T00:05:30+00:00,Daejeon,0,-22.305,5798.139
2026-03-27T00:06:00+00:00,Seoul,0,-20.905,5550.798
2026-03-27T00:06:00+00:00,Daejeon,0,-21.467,5649.633
2026-03-27T00:06:30+00:00,Seoul,0,-20.085,5405.871
2026-03-27T00:06:30+00:00,Daejeon,0,-20.637,5502.805
2026-03-27T00:07:00+00:00,Seoul,0,-19.275,5263.167
2026-03-27T00:07:00+00:00,Daejeon,0,-19.817,5357.949
2026-03-27T00:07:30+00:00,Seoul,0,-18.476,5123.024
2026-03-27T00:07:30+00:00,Daejeon,0,-19.006,5215.385
2026-03-27T00:08:00+00:00,Seoul,0,-17.691,4985.806
2026-03-27T00:08:00+00:00,Daejeon,0,-18.208,5075.457
