utc,ground_station,visible,elevation_deg,range_km
2026-03-27T00:00:00+00:00,Seoul,0,-17.416,4858.154
2026-03-27T00:00:00+00:00,Daejeon,0,-17.518,4876.198
2026-03-27T00:00:10+00:00,Seoul,0,-17.054,4795.137
2026-03-27T00:00:10+00:00,Daejeon,0,-17.161,4813.921
2026-03-27T00:00:20+00:00,Seoul,0,-16.691,4732.067
2026-03-27T00:00:20+00:00,Daejeon,0,-16.803,4751.608
2026-03-27T00:00:30+00:00,Seoul,0,-16.327,4668.950
2026-03-27T00:00:30+00:00,Daejeon,0,-16.443,4689.264
2026-03-27T00:00:40+00:00,Seoul,0,-15.961,4605.792
2026-03-27T00:00:40+00:00,Daejeon,0,-16.083,4626.896
2026-03-27T00:00:50+00:00,Seoul,0,-15.594,4542.597
2026-03-27T00:00:50+00:00,Daejeon,0,-15.721,4564.511
2026-03-27T00:01:00+00:00,Seoul,0,-15.225,4479.373
2026-03-27T00:01:00+00:00,Daejeon,0,-15.357,4502.114
2026-03-27T00:01:10+00:00,Seoul,0,-14.855,4416.124
2026-03-27T00:01:10+00:00,Daejeon,0,-14.993,4439.712
2026-03-27T00:01:20+00:00,Seoul,0,-14.483,4352.858
2026-03-27T00:01:20+00:00,Daejeon,0,-14.626,4377.313
2026-03-27T00:01:30+00:00,Seoul,0,-14.110,4289.581
2026-03-27T00:01:30+00:00,Daejeon,0,-14.259,4314.924
2026-03-27T00:01:40+00:00,Seoul,0,-13.734,4226.300
2026-03-27T00:01:40+00:00,Daejeon,0,-13.889,4252.553
2026-03-27T00:01:50+00:00,Seoul,0,-13.357,4163.023
2026-03-27T00:01:50+00:00,Daejeon,0,-13.518,4190.208
2026-03-27T00:02:00+00:00,Seoul,0,-12.978,4099.756
2026-03-27T00:02:00+00:00,Daejeon,0,-13.146,4127.898
2026-03-27T00:02:10+00:00,Seoul,0,-12.596,4036.509
2026-03-27T00:02:10+00:00,Daejeon,0,-12.771,4065.631
2026-03-27T00:02:20+00:00,Seoul,0,-12.213,3973.289
2026-03-27T00:02:20+00:00,Daejeon,0,-12.395,4003.417
2026-03-27T00:02:30+00:00,Seoul,0,-11.827,3910.106
2026-03-27T00:02:30+00:00,Daejeon,0,-12.017,3941.265
2026-03-27T00:02:40+00:00,Seoul,0,-11.439,3846.968
2026-03-27T00:02:40+00:00,Daejeon,0,-11.637,3879.186
2026-03-27T00:02:50+00:00,Seoul,0,-11.049,3783.885
2026-03-27T00:02:50+00:00,Daejeon,0,-11.255,3817.191
2026-03-27T00:03:00+00:00,Seoul,0,-10.656,3720.867
2026-03-27T00:03:00+00:00,Daejeon,0,-10.871,3755.291
2026-03-27T00:03:10+00:00,Seoul,0,-10.261,3657.926
2026-03-27T00:03:10+00:00,Daejeon,0,-10.484,3693.499
2026-03-27T00:03:20+00:00,Seoul,0,-9.863,3595.072
2026-03-27T00:03:20+00:00,Daejeon,0,-10.095,3631.826
2026-03-27T00:03:30+00:00,Seoul,0,-9.462,3532.319
2026-03-27T00:03:30+00:00,Daejeon,0,-9.704,3570.287
2026-03-27T00:03:40+00:00,Seoul,0,-9.058,3469.678
2026-03-27T00:03:40+00:00,Daejeon,0,-9.311,3508.895
2026-03-27T00:03:50+00:00,Seoul,0,-8.651,3407.163
2026-03-27T00:03:50+00:00,Daejeon,0,-8.915,3447.666
2026-03-27T00:04:00+00:00,Seoul,0,-8.241,3344.788
2026-03-27T00:04:00+00:00,Daejeon,0,-8.516,3386.616
2026-03-27T00:04:10+00:00,Seoul,0,-7.828,3282.570
2026-03-27T00:04:10+00:00,Daejeon,0,-8.115,3325.761
2026-03-27T00:04:20+00:00,Seoul,0,-7.411,3220.524
2026-03-27T00:04:20+00:00,Daejeon,0,-7.711,3265.120
2026-03-27T00:04:30+00:00,Seoul,0,-6.990,3158.668
2026-03-27T00:04:30+00:00,Daejeon,0,-7.303,3204.713
2026-03-27T00:04:40+00:00,Seoul,0,-6.566,3097.021
2026-03-27T00:04:40+00:00,Daejeon,0,-6.893,3144.559
2026-03-27T00:04:50+00:00,Seoul,0,-6.138,3035.602
2026-03-27T00:04:50+00:00,Daejeon,0,-6.480,3084.680
2026-03-27T00:05:00+00:00,Seoul,0,-5.706,2974.433
2026-03-27T00:05:00+00:00,Daejeon,0,-6.064,3025.100
2026-03-27T00:05:10+00:00,Seoul,0,-5.269,2913.537
2026-03-27T00:05:10+00:00,Daejeon,0,-5.644,2965.844
2026-03-27T00:05:20+00:00,Seoul,0,-4.828,2852.938
2026-03-27T00:05:20+00:00,Daejeon,0,-5.221,2906.938
2026-03-27T00:05:30+00:00,Seoul,0,-4.383,2792.663
2026-03-27T00:05:30+00:00,Daejeon,0,-4.795,2848.412
2026-03-27T00:05:40+00:00,Seoul,0,-3.933,2732.741
2026-03-27T00:05:40+00:00,Daejeon,0,-4.365,2790.295
2026-03-27T00:05:50+00:00,Seoul,0,-3.478,2673.202
2026-03-27T00:05:50+00:00,Daejeon,0,-3.932,2732.622
2026-03-27T00:06:00+00:00,Seoul,0,-3.018,2614.080
2026-03-27T00:06:00+00:00,Daejeon,0,-3.495,2675.426
2026-03-27T00:06:10+00:00,Seoul,0,-2.552,2555.410
2026-03-27T00:06:10+00:00,Daejeon,0,-3.054,2618.747
2026-03-27T00:06:20+00:00,Seoul,0,-2.082,2497.231
2026-03-27T00:06:20+00:00,Daejeon,0,-2.610,2562.625
2026-03-27T00:06:30+00:00,Seoul,0,-1.606,2439.586
2026-03-27T00:06:30+00:00,Daejeon,0,-2.163,2507.104
2026-03-27T00:06:40+00:00,Seoul,0,-1.125,2382.519
2026-03-27T00:06:40+00:00,Daejeon,0,-1.712,2452.231
2026-03-27T00:06:50+00:00,Seoul,0,-0.638,2326.080
2026-03-27T00:06:50+00:00,Daejeon,0,-1.257,2398.058
2026-03-27T00:07:00+00:00,Seoul,0,-0.146,2270.322
2026-03-27T00:07:00+00:00,Daejeon,0,-0.800,2344.638
2026-03-27T00:07:10+00:00,Seoul,0,0.351,2215.303
2026-03-27T00:07:10+00:00,Daejeon,0,-0.339,2292.032
2026-03-27T00:07:20+00:00,Seoul,0,0.854,2161.087
2026-03-27T00:07:20+00:00,Daejeon,0,0.123,2240.301
2026-03-27T00:07:30+00:00,Seoul,0,1.362,2107.741
2026-03-27T00:07:30+00:00,Daejeon,0,0.588,2189.515
2026-03-27T00:07:40+00:00,Seoul,0,1.874,2055.340
2026-03-27T00:07:40+00:00,Daejeon,0,1.055,2139.747
2026-03-27T00:07:50+00:00,Seoul,0,2.391,2003.963
2026-03-27T00:07:50+00:00,Daejeon,0,1.523,2091.074
2026-03-27T00:08:00+00:00,Seoul,0,2.911,1953.698
2026-03-27T00:08:00+00:00,Daejeon,0,1.991,2043.582
2026-03-27T00:08:10+00:00,Seoul,0,3.434,1904.638
2026-03-27T00:08:10+00:00,Daejeon,0,2.458,1997.358
2026-03-27T00:08:20+00:00,Seoul,0,3.958,1856.885
2026-03-27T00:08:20+00:00,Daejeon,0,2.923,1952.500
2026-03-27T00:08:30+00:00,Seoul,0,4.483,1810.547
2026-03-27T00:08:30+00:00,Daejeon,0,3.385,1909.108
2026-03-27T00:08:40+00:00,Seoul,0,5.007,1765.741
2026-03-27T00:08:40+00:00,Daejeon,0,3.842,1867.289
2026-03-27T00:08:50+00:00,Seoul,0,5.527,1722.592
2026-03-27T00:08:50+00:00,Daejeon,0,4.292,1827.156
2026-03-27T00:09:00+00:00,Seoul,0,6.042,1681.233
2026-03-27T00:09:00+00:00,Daejeon,0,4.734,1788.828
2026-03-27T00:09:10+00:00,Seoul,0,6.549,1641.803
2026-03-27T00:09:10+00:00,Daejeon,0,5.165,1752.426
2026-03-27T00:09:20+00:00,Seoul,0,7.045,1604.449
2026-03-27T00:09:20+00:00,Daejeon,0,5.582,1718.078
2026-03-27T00:09:30+00:00,Seoul,0,7.526,1569.324
2026-03-27T00:09:30+00:00,Daejeon,0,5.982,1685.913
2026-03-27T00:09:40+00:00,Seoul,0,7.988,1536.584
2026-03-27T00:09:40+00:00,Daejeon,0,6.363,1656.061
2026-03-27T00:09:50+00:00,Seoul,0,8.426,1506.389
2026-03-27T00:09:50+00:00,Daejeon,0,6.721,1628.652
2026-03-27T00:10:00+00:00,Seoul,0,8.837,1478.897
2026-03-27T00:10:00+00:00,Daejeon,0,7.052,1603.816
2026-03-27T00:10:10+00:00,Seoul,0,9.214,1454.265
2026-03-27T00:10:10+00:00,Daejeon,0,7.354,1581.676
2026-03-27T00:10:20+00:00,Seoul,0,9.553,1432.644
2026-03-27T00:10:20+00:00,Daejeon,0,7.622,1562.349
2026-03-27T00:10:30+00:00,Seoul,0,9.849,1414.172
2026-03-27T00:10:30+00:00,Daejeon,0,7.853,1545.942
2026-03-27T00:10:40+00:00,Seoul,1,10.097,1398.978
2026-03-27T00:10:40+00:00,Daejeon,0,8.045,1532.550
2026-03-27T00:10:50+00:00,Seoul,1,10.293,1387.170
2026-03-27T00:10:50+00:00,Daejeon,0,8.193,1522.256
2026-03-27T00:11:00+00:00,Seoul,1,10.432,1378.836
2026-03-27T00:11:00+00:00,Daejeon,0,8.297,1515.121
2026-03-27T00:11:10+00:00,Seoul,1,10.513,1374.040
2026-03-27T00:11:10+00:00,Daejeon,0,8.355,1511.192
2026-03-27T00:11:20+00:00,Seoul,1,10.534,1372.820
2026-03-27T00:11:20+00:00,Daejeon,0,8.365,1510.495
2026-03-27T00:11:30+00:00,Seoul,1,10.494,1375.184
2026-03-27T00:11:30+00:00,Daejeon,0,8.328,1513.032
2026-03-27T00:11:40+00:00,Seoul,1,10.395,1381.114
2026-03-27T00:11:40+00:00,Daejeon,0,8.244,1518.787
2026-03-27T00:11:50+00:00,Seoul,1,10.238,1390.563
2026-03-27T00:11:50+00:00,Daejeon,0,8.115,1527.724
2026-03-27T00:12:00+00:00,Seoul,1,10.025,1403.459
2026-03-27T00:12:00+00:00,Daejeon,0,7.942,1539.785
2026-03-27T00:12:10+00:00,Seoul,0,9.762,1419.706
2026-03-27T00:12:10+00:00,Daejeon,0,7.728,1554.895
2026-03-27T00:12:20+00:00,Seoul,0,9.453,1439.188
2026-03-27T00:12:20+00:00,Daejeon,0,7.476,1572.965
2026-03-27T00:12:30+00:00,Seoul,0,9.101,1461.773
2026-03-27T00:12:30+00:00,Daejeon,0,7.189,1593.892
2026-03-27T00:12:40+00:00,Seoul,0,8.714,1487.317
2026-03-27T00:12:40+00:00,Daejeon,0,6.870,1617.562
2026-03-27T00:12:50+00:00,Seoul,0,8.294,1515.667
2026-03-27T00:12:50+00:00,Daejeon,0,6.524,1643.854
2026-03-27T00:13:00+00:00,Seoul,0,7.848,1546.667
2026-03-27T00:13:00+00:00,Daejeon,0,6.153,1672.641
2026-03-27T00:13:10+00:00,Seoul,0,7.381,1580.154
2026-03-27T00:13:10+00:00,Daejeon,0,5.761,1703.793
2026-03-27T00:13:20+00:00,Seoul,0,6.896,1615.973
2026-03-27T00:13:20+00:00,Daejeon,0,5.352,1737.178
2026-03-27T00:13:30+00:00,Seoul,0,6.397,1653.965
2026-03-27T00:13:30+00:00,Daejeon,0,4.927,1772.667
2026-03-27T00:13:40+00:00,Seoul,0,5.888,1693.981
2026-03-27T00:13:40+00:00,Daejeon,0,4.491,1810.132
2026-03-27T00:13:50+00:00,Seoul,0,5.371,1735.876
2026-03-27T00:13:50+00:00,Daejeon,0,4.044,1849.448
2026-03-27T00:14:00+00:00,Seoul,0,4.850,1779.512
2026-03-27T00:14:00+00:00,Daejeon,0,3.591,1890.495
2026-03-27T00:14:10+00:00,Seoul,0,4.327,1824.760
2026-03-27T00:14:10+00:00,Daejeon,0,3.131,1933.157
2026-03-27T00:14:20+00:00,Seoul,0,3.803,1871.496
2026-03-27T00:14:20+00:00,Daejeon,0,2.668,1977.326
2026-03-27T00:14:30+00:00,Seoul,0,3.279,1919.608
2026-03-27T00:14:30+00:00,Daejeon,0,2.203,2022.897
2026-03-27T00:14:40+00:00,Seoul,0,2.758,1968.988
2026-03-27T00:14:40+00:00,Daejeon,0,1.736,2069.773
2026-03-27T00:14:50+00:00,Seoul,0,2.240,2019.537
2026-03-27T00:14:50+00:00,Daejeon,0,1.269,2117.861
2026-03-27T00:15:00+00:00,Seoul,0,1.725,2071.165
2026-03-27T00:15:00+00:00,Daejeon,0,0.802,2167.075
2026-03-27T00:15:10+00:00,Seoul,0,1.215,2123.787
2026-03-27T00:15:10+00:00,Daejeon,0,0.338,2217.334
2026-03-27T00:15:20+00:00,Seoul,0,0.710,2177.323
2026-03-27T00:15:20+00:00,Daejeon,0,-0.125,2268.564
2026-03-27T00:15:30+00:00,Seoul,0,0.210,2231.703
2026-03-27T00:15:30+00:00,Daejeon,0,-0.586,2320.693
2026-03-27T00:15:40+00:00,Seoul,0,-0.285,2286.861
2026-03-27T00:15:40+00:00,Daejeon,0,-1.044,2373.656
2026-03-27T00:15:50+00:00,Seoul,0,-0.775,2342.733
2026-03-27T00:15:50+00:00,Daejeon,0,-1.499,2427.394
2026-03-27T00:16:00+00:00,Seoul,0,-1.259,2399.265
2026-03-27T00:16:00+00:00,Daejeon,0,-1.950,2481.848
2026-03-27T00:16:10+00:00,Seoul,0,-1.737,2456.405
2026-03-27T00:16:10+00:00,Daejeon,0,-2.398,2536.968
2026-03-27T00:16:20+00:00,Seoul,0,-2.211,2514.103
2026-03-27T00:16:20+00:00,Daejeon,0,-2.843,2592.703
2026-03-27T00:16:30+00:00,Seoul,0,-2.678,2572.317
2026-03-27T00:16:30+00:00,Daejeon,0,-3.284,2649.010
2026-03-27T00:16:40+00:00,Seoul,0,-3.141,2631.004
2026-03-27T00:16:40+00:00,Daejeon,0,-3.722,2705.844
2026-03-27T00:16:50+00:00,Seoul,0,-3.599,2690.128
2026-03-27T00:16:50+00:00,Daejeon,0,-4.156,2763.169
2026-03-27T00:17:00+00:00,Seoul,0,-4.051,2749.654
2026-03-27T00:17:00+00:00,Daejeon,0,-4.586,2820.946
2026-03-27T00:17:10+00:00,Seoul,0,-4.499,2809.548
2026-03-27T00:17:10+00:00,Daejeon,0,-5.013,2879.142
2026-03-27T00:17:20+00:00,Seoul,0,-4.942,2869.781
2026-03-27T00:17:20+00:00,Daejeon,0,-5.436,2937.726
2026-03-27T00:17:30+00:00,Seoul,0,-5.380,2930.326
2026-03-27T00:17:30+00:00,Daejeon,0,-5.856,2996.668
2026-03-27T00:17:40+00:00,Seoul,0,-5.814,2991.156
2026-03-27T00:17:40+00:00,Daejeon,0,-6.273,3055.941
2026-03-27T00:17:50+00:00,Seoul,0,-6.244,3052.247
2026-03-27T00:17:50+00:00,Daejeon,0,-6.686,3115.518
2026-03-27T00:18:00+00:00,Seoul,0,-6.670,3113.577
2026-03-27T00:18:00+00:00,Daejeon,0,-7.097,3175.376
2026-03-27T00:18:10+00:00,Seoul,0,-7.092,3175.125
2026-03-27T00:18:10+00:00,Daejeon,0,-7.504,3235.493
2026-03-27T00:18:20+00:00,Seoul,0,-7.511,3236.872
2026-03-27T00:18:20+00:00,Daejeon,0,-7.908,3295.847
2026-03-27T00:18:30+00:00,Seoul,0,-7.925,3298.799
2026-03-27T00:18:30+00:00,Daejeon,0,-8.310,3356.418
2026-03-27T00:18:40+00:00,Seoul,0,-8.337,3360.889
2026-03-27T00:18:40+00:00,Daejeon,0,-8.708,3417.189
